# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,country,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140122,KR,0,0,0,0,0,1,0,0
20140122,IN,0,0,0,0,0,1,0,0
20140122,CA,1,0,0,0,1,1,0,0
20140121,US,5,0,0,0,5,6,0,0
20140121,TW,10,2,0,0,10,10,2,0
20140121,KR,0,0,0,0,0,1,0,0
20140121,IN,0,0,0,0,0,1,0,0
20140121,CA,1,0,0,0,1,1,0,0
20140120,US,5,0,0,0,5,6,0,0
20140120,TW,8,1,0,0,8,8,1,0
20140120,KR,0,0,0,0,0,1,0,0
20140120,IN,0,0,1,0,0,1,0,1
20140120,CA,1,0,0,0,1,1,0,0
20140119,US,5,0,0,0,5,6,0,0
20140119,TW,7,1,0,0,7,7,1,0
20140119,KR,0,1,1,0,0,1,1,1
20140119,IN,1,1,0,0,1,1,1,0
20140119,CA,1,0,0,0,1,1,0,0
20140118,US,5,0,0,0,5,6,0,0
20140118,TW,6,0,0,0,6,6,0,0
20140118,CA,1,0,0,0,1,1,0,0
20140117,US,5,2,0,0,5,6,2,0
20140117,TW,6,2,0,0,6,6,2,0
20140117,CA,1,0,0,0,1,1,0,0
20140116,US,3,4,1,0,3,4,4,1
20140116,TW,4,4,0,0,4,4,4,0
20140116,CA,1,1,0,0,1,1,1,0
