# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,device,daily_avg_rating,total_avg_rating
20140206,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140206,Samsung Galaxy Note II (t03g),0.0,5.0
20140206,Google Nexus 4 (mako),0.0,5.0
20140206,HTC HTC One (m7),0.0,5.0
20140206,Samsung Galaxy S3 (m0),0.0,5.0
20140206,Samsung Galaxy S4 (ja3g),0.0,5.0
20140206,HTC HTC One X (endeavoru),0.0,5.0
20140206,HTC HTC Butterfly (dlxub1),0.0,5.0
20140206,HTC HTC_7060 (cp5dug),0.0,5.0
20140206,Sony Ericsson LT18i (LT18i),0.0,5.0
20140206,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140206,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140206,C1904,0.0,5.0
20140205,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140205,Samsung Galaxy Note II (t03g),0.0,5.0
20140205,Google Nexus 4 (mako),0.0,5.0
20140205,HTC HTC One (m7),0.0,5.0
20140205,Samsung Galaxy S3 (m0),0.0,5.0
20140205,Samsung Galaxy S4 (ja3g),0.0,5.0
20140205,HTC HTC One X (endeavoru),0.0,5.0
20140205,HTC HTC Butterfly (dlxub1),0.0,5.0
20140205,HTC HTC_7060 (cp5dug),0.0,5.0
20140205,Sony Ericsson LT18i (LT18i),0.0,5.0
20140205,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140205,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140205,C1904,0.0,5.0
20140204,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140204,Samsung Galaxy Note II (t03g),0.0,5.0
20140204,Google Nexus 4 (mako),0.0,5.0
20140204,HTC HTC One (m7),0.0,5.0
20140204,Samsung Galaxy S3 (m0),0.0,5.0
20140204,Samsung Galaxy S4 (ja3g),0.0,5.0
20140204,HTC HTC One X (endeavoru),0.0,5.0
20140204,HTC HTC Butterfly (dlxub1),0.0,5.0
20140204,HTC HTC_7060 (cp5dug),0.0,5.0
20140204,Sony Ericsson LT18i (LT18i),0.0,5.0
20140204,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140204,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140204,C1904,0.0,5.0
20140203,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140203,Samsung Galaxy Note II (t03g),0.0,5.0
20140203,Google Nexus 4 (mako),0.0,5.0
20140203,HTC HTC One (m7),0.0,5.0
20140203,Samsung Galaxy S3 (m0),0.0,5.0
20140203,Samsung Galaxy S4 (ja3g),0.0,5.0
20140203,HTC HTC One X (endeavoru),0.0,5.0
20140203,HTC HTC Butterfly (dlxub1),0.0,5.0
20140203,HTC HTC_7060 (cp5dug),0.0,5.0
