# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,carrier,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140202,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140202,T-Mobile - US,0,0,0,0,0,1,0,0
20140202,Rogers,0,0,0,0,0,1,0,0
20140202,KT,0,0,0,0,0,1,0,0
20140202,Chungwa Telecom,9,0,0,0,9,10,0,0
20140202,Airtel,0,0,0,0,0,1,0,0
20140202,AT&T,2,0,0,0,2,2,0,0
20140201,Verizon Wireless,2,0,0,0,2,2,0,0
20140201,UNKNOWN,3,0,0,0,3,4,0,0
20140201,Taiwan Mobile Co. Ltd,2,0,0,2,2,3,0,0
20140201,T-Mobile - US,0,0,0,0,0,1,0,0
20140201,Rogers,0,0,0,0,0,1,0,0
20140201,KT,0,0,0,0,0,1,0,0
20140201,Chungwa Telecom,9,0,0,0,9,10,0,0
20140201,Airtel,0,0,0,0,0,1,0,0
20140201,AT&T,2,0,0,0,2,2,0,0
20140131,Verizon Wireless,2,0,0,0,2,2,0,0
20140131,UNKNOWN,4,0,0,1,4,5,0,0
20140131,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140131,T-Mobile - US,0,0,0,0,0,1,0,0
20140131,Rogers,0,0,0,0,0,1,0,0
20140131,KT,0,0,0,0,0,1,0,0
20140131,Chungwa Telecom,8,0,0,3,8,9,0,0
20140131,Airtel,0,0,0,0,0,1,0,0
20140131,AT&T,2,0,0,1,2,2,0,0
20140130,Verizon Wireless,2,0,0,1,2,2,0,0
20140130,UNKNOWN,4,0,0,2,4,5,0,0
20140130,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140130,T-Mobile - US,0,0,0,0,0,1,0,0
20140130,Rogers,0,0,0,0,0,1,0,0
20140130,KT,0,0,0,0,0,1,0,0
20140130,Chungwa Telecom,8,0,0,0,8,9,0,0
20140130,Airtel,0,0,0,0,0,1,0,0
20140130,AT&T,1,0,0,1,1,2,0,0
20140129,Verizon Wireless,2,0,0,0,2,2,0,0
20140129,UNKNOWN,5,0,0,0,5,6,0,0
20140129,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140129,T-Mobile - US,0,0,0,0,0,1,0,0
20140129,Rogers,0,0,1,0,0,1,0,1
20140129,KT,0,0,0,0,0,1,0,0
20140129,Chungwa Telecom,7,1,0,0,7,8,1,0
20140129,Airtel,0,0,0,0,0,1,0,0
20140129,AT&T,1,0,1,0,1,2,0,1
20140128,Verizon Wireless,2,0,0,0,2,2,0,0
20140128,UNKNOWN,4,0,1,0,4,5,0,1
20140128,Taiwan Mobile Co. Ltd,2,0,0,0,2,3,0,0
20140128,T-Mobile - US,0,0,0,0,0,1,0,0
20140128,Rogers,1,0,0,0,1,1,0,0
20140128,KT,0,0,0,0,0,1,0,0
20140128,Chungwa Telecom,7,0,0,0,7,8,0,0
20140128,Airtel,0,0,0,0,0,1,0,0
20140128,AT&T,2,0,0,0,2,2,0,0
20140127,Verizon Wireless,2,0,0,0,2,2,0,0
20140127,UNKNOWN,5,1,0,0,5,5,1,0
20140127,Taiwan Mobile Co. Ltd,2,1,0,0,2,3,1,0
20140127,T-Mobile - US,0,0,0,0,0,1,0,0
20140127,Rogers,1,0,0,0,1,1,0,0
20140127,KT,0,0,0,0,0,1,0,0
20140127,Chungwa Telecom,7,0,0,0,7,8,0,0
20140127,Airtel,0,0,0,0,0,1,0,0
20140127,AT&T,2,0,0,0,2,2,0,0
20140126,Verizon Wireless,2,0,0,0,2,2,0,0
20140126,UNKNOWN,4,0,0,0,4,4,0,0
20140126,Taiwan Mobile Co. Ltd,1,1,1,0,1,2,1,1
20140126,T-Mobile - US,0,0,0,0,0,1,0,0
20140126,Rogers,1,0,0,0,1,1,0,0
20140126,KT,0,0,0,0,0,1,0,0
20140126,Chungwa Telecom,7,1,0,0,7,8,1,0
20140126,Airtel,0,0,0,0,0,1,0,0
20140126,AT&T,2,0,0,0,2,2,0,0
20140125,Verizon Wireless,2,0,0,0,2,2,0,0
20140125,UNKNOWN,4,0,0,0,4,4,0,0
20140125,Taiwan Mobile Co. Ltd,1,1,0,0,1,1,1,0
20140125,T-Mobile - US,0,0,0,0,0,1,0,0
20140125,Rogers,1,0,0,0,1,1,0,0
20140125,KT,0,0,0,0,0,1,0,0
20140125,Chungwa Telecom,6,0,1,0,6,7,0,1
20140125,Airtel,0,0,0,0,0,1,0,0
20140125,AT&T,2,0,0,0,2,2,0,0
20140124,Verizon Wireless,2,0,0,0,2,2,0,0
20140124,UNKNOWN,4,0,0,0,4,4,0,0
20140124,T-Mobile - US,0,0,0,0,0,1,0,0
20140124,Rogers,1,0,0,0,1,1,0,0
20140124,KT,0,0,0,0,0,1,0,0
20140124,Chungwa Telecom,7,0,0,0,7,7,0,0
20140124,Airtel,0,0,0,0,0,1,0,0
20140124,AT&T,2,0,0,0,2,2,0,0
20140123,Verizon Wireless,2,0,0,0,2,2,0,0
20140123,UNKNOWN,5,0,0,0,5,5,0,0
20140123,T-Mobile - US,0,0,0,0,0,1,0,0
20140123,Rogers,1,0,0,0,1,1,0,0
20140123,KT,0,0,0,0,0,1,0,0
20140123,Chungwa Telecom,6,0,0,0,6,6,0,0
20140123,Airtel,0,0,0,0,0,1,0,0
20140123,AT&T,2,0,0,0,2,2,0,0
20140122,Verizon Wireless,2,0,0,0,2,2,0,0
20140122,UNKNOWN,3,0,0,0,3,3,0,0
20140122,T-Mobile - US,0,0,0,0,0,1,0,0
20140122,Rogers,1,0,0,0,1,1,0,0
20140122,KT,0,0,0,0,0,1,0,0
20140122,Chungwa Telecom,8,0,0,0,8,8,0,0
20140122,Airtel,0,0,0,0,0,1,0,0
20140122,AT&T,2,0,0,0,2,2,0,0
20140121,Verizon Wireless,2,0,0,0,2,2,0,0
20140121,UNKNOWN,4,1,0,0,4,4,1,0
20140121,T-Mobile - US,0,0,0,0,0,1,0,0
20140121,Rogers,1,0,0,0,1,1,0,0
20140121,KT,0,0,0,0,0,1,0,0
20140121,Chungwa Telecom,7,1,0,0,7,7,1,0
20140121,Airtel,0,0,0,0,0,1,0,0
20140121,AT&T,2,0,0,0,2,2,0,0
20140120,Verizon Wireless,2,0,0,0,2,2,0,0
20140120,UNKNOWN,3,0,0,0,3,3,0,0
20140120,T-Mobile - US,0,0,0,0,0,1,0,0
20140120,Rogers,1,0,0,0,1,1,0,0
20140120,KT,0,0,0,0,0,1,0,0
20140120,Chungwa Telecom,6,1,0,0,6,6,1,0
20140120,Airtel,0,0,1,0,0,1,0,1
20140120,AT&T,2,0,0,0,2,2,0,0
20140119,Verizon Wireless,2,0,0,0,2,2,0,0
20140119,UNKNOWN,3,1,0,0,3,3,1,0
20140119,T-Mobile - US,0,0,0,0,0,1,0,0
20140119,Rogers,1,0,0,0,1,1,0,0
20140119,KT,0,1,1,0,0,1,1,1
20140119,Chungwa Telecom,5,0,0,0,5,5,0,0
20140119,Airtel,1,1,0,0,1,1,1,0
20140119,AT&T,2,0,0,0,2,2,0,0
20140118,Verizon Wireless,2,0,0,0,2,2,0,0
20140118,UNKNOWN,2,0,0,0,2,2,0,0
20140118,T-Mobile - US,0,0,0,0,0,1,0,0
20140118,Rogers,1,0,0,0,1,1,0,0
20140118,Chungwa Telecom,5,0,0,0,5,5,0,0
20140118,AT&T,2,0,0,0,2,2,0,0
20140117,Verizon Wireless,2,2,0,0,2,2,2,0
20140117,UNKNOWN,2,0,0,0,2,2,0,0
20140117,T-Mobile - US,0,0,0,0,0,1,0,0
20140117,Rogers,1,0,0,0,1,1,0,0
20140117,Chungwa Telecom,5,2,0,0,5,5,2,0
20140117,AT&T,2,0,0,0,2,2,0,0
20140116,UNKNOWN,2,2,0,0,2,2,2,0
20140116,T-Mobile - US,0,1,1,0,0,1,1,1
20140116,Rogers,1,1,0,0,1,1,1,0
20140116,Chungwa Telecom,3,3,0,0,3,3,3,0
20140116,AT&T,2,2,0,0,2,2,2,0
