# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,carrier,daily_avg_rating,total_avg_rating
20140120,T-Mobile - US,0.0,5.0
20140120,-1,0.0,5.0
20140119,Chungwa Telecom,0.0,5.0
20140119,Far EasTone Telecommunications,0.0,5.0
20140119,AT&T,0.0,5.0
20140119,T-Mobile - US,0.0,5.0
20140118,Chungwa Telecom,0.0,5.0
20140118,Far EasTone Telecommunications,0.0,5.0
20140118,AT&T,0.0,5.0
20140118,T-Mobile - US,0.0,5.0
20140117,Chungwa Telecom,5.0,5.0
20140117,Far EasTone Telecommunications,0.0,5.0
20140117,AT&T,0.0,5.0
20140117,T-Mobile - US,0.0,5.0
