# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,os_version,daily_avg_rating,total_avg_rating
20140214,Android 4.4,0.0,5.0
20140214,Android 4.3,0.0,5.0
20140214,Android 4.2,0.0,5.0
20140214,Android 4.1,0.0,5.0
20140214,Android 4.0.3 - 4.0.4,0.0,5.0
20140213,Android 4.4,0.0,5.0
20140213,Android 4.3,0.0,5.0
20140213,Android 4.2,0.0,5.0
20140213,Android 4.1,0.0,5.0
20140213,Android 4.0.3 - 4.0.4,0.0,5.0
20140212,Android 4.4,0.0,5.0
20140212,Android 4.3,0.0,5.0
20140212,Android 4.2,0.0,5.0
20140212,Android 4.1,0.0,5.0
20140212,Android 4.0.3 - 4.0.4,0.0,5.0
20140211,Android 4.4,0.0,5.0
20140211,Android 4.3,0.0,5.0
20140211,Android 4.2,0.0,5.0
20140211,Android 4.1,0.0,5.0
20140211,Android 4.0.3 - 4.0.4,0.0,5.0
20140210,Android 4.4,0.0,5.0
20140210,Android 4.3,0.0,5.0
20140210,Android 4.2,0.0,5.0
20140210,Android 4.1,0.0,5.0
20140210,Android 4.0.3 - 4.0.4,0.0,5.0
20140209,Android 4.4,0.0,5.0
20140209,Android 4.3,0.0,5.0
20140209,Android 4.2,0.0,5.0
20140209,Android 4.1,0.0,5.0
20140209,Android 4.0.3 - 4.0.4,5.0,5.0
20140208,Android 4.4,0.0,5.0
20140208,Android 4.3,0.0,5.0
20140208,Android 4.2,0.0,5.0
20140208,Android 4.1,0.0,5.0
20140208,Android 4.0.3 - 4.0.4,0.0,5.0
20140207,Android 4.4,0.0,5.0
20140207,Android 4.3,0.0,5.0
20140207,Android 4.2,0.0,5.0
20140207,Android 4.1,0.0,5.0
20140207,Android 4.0.3 - 4.0.4,0.0,5.0
20140206,Android 4.4,0.0,5.0
20140206,Android 4.3,0.0,5.0
20140206,Android 4.2,0.0,5.0
20140206,Android 4.1,0.0,5.0
20140206,Android 4.0.3 - 4.0.4,0.0,5.0
20140205,Android 4.4,0.0,5.0
20140205,Android 4.3,0.0,5.0
20140205,Android 4.2,0.0,5.0
20140205,Android 4.1,0.0,5.0
20140205,Android 4.0.3 - 4.0.4,0.0,5.0
20140204,Android 4.4,0.0,5.0
20140204,Android 4.3,0.0,5.0
20140204,Android 4.2,0.0,5.0
20140204,Android 4.1,0.0,5.0
20140204,Android 4.0.3 - 4.0.4,0.0,5.0
20140203,Android 4.4,0.0,5.0
20140203,Android 4.3,0.0,5.0
20140203,Android 4.2,0.0,5.0
20140203,Android 4.1,0.0,5.0
20140203,Android 4.0.3 - 4.0.4,0.0,5.0
20140202,Android 4.4,0.0,5.0
20140202,Android 4.3,0.0,5.0
20140202,Android 4.2,0.0,5.0
20140202,Android 4.1,0.0,5.0
20140202,Android 4.0.3 - 4.0.4,0.0,5.0
20140201,Android 4.4,0.0,5.0
20140201,Android 4.3,0.0,5.0
20140201,Android 4.2,0.0,5.0
20140201,Android 4.1,0.0,5.0
20140201,Android 4.0.3 - 4.0.4,0.0,5.0
20140131,Android 4.4,0.0,5.0
20140131,Android 4.3,0.0,5.0
20140131,Android 4.2,0.0,5.0
20140131,Android 4.1,0.0,5.0
20140131,Android 4.0.3 - 4.0.4,0.0,5.0
20140130,Android 4.4,0.0,5.0
20140130,Android 4.3,0.0,5.0
20140130,Android 4.2,0.0,5.0
20140130,Android 4.1,0.0,5.0
20140130,Android 4.0.3 - 4.0.4,0.0,5.0
20140129,Android 4.4,0.0,5.0
20140129,Android 4.3,0.0,5.0
20140129,Android 4.2,0.0,5.0
20140129,Android 4.1,0.0,5.0
20140129,Android 4.0.3 - 4.0.4,0.0,5.0
20140128,Android 4.4,0.0,5.0
20140128,Android 4.3,0.0,5.0
20140128,Android 4.2,0.0,5.0
20140128,Android 4.1,0.0,5.0
20140128,Android 4.0.3 - 4.0.4,0.0,5.0
20140127,Android 4.4,0.0,5.0
20140127,Android 4.3,5.0,5.0
20140127,Android 4.2,0.0,5.0
20140127,Android 4.1,0.0,5.0
20140127,Android 4.0.3 - 4.0.4,0.0,5.0
20140126,Android 4.4,0.0,5.0
20140126,Android 4.3,0.0,5.0
20140126,Android 4.2,0.0,5.0
20140126,Android 4.1,0.0,5.0
20140126,Android 4.0.3 - 4.0.4,0.0,5.0
20140125,Android 4.4,0.0,5.0
20140125,Android 4.3,0.0,5.0
20140125,Android 4.2,0.0,5.0
20140125,Android 4.1,0.0,5.0
20140125,Android 4.0.3 - 4.0.4,0.0,5.0
20140124,Android 4.4,0.0,5.0
