# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,os_version,daily_avg_rating,total_avg_rating
20140124,Android 4.3,0.0,5.0
20140124,Android 4.2,0.0,5.0
20140124,Android 4.1,0.0,5.0
20140124,Android 4.0.3 - 4.0.4,0.0,5.0
20140123,Android 4.4,0.0,5.0
20140123,Android 4.3,0.0,5.0
20140123,Android 4.2,0.0,5.0
20140123,Android 4.1,0.0,5.0
20140123,Android 4.0.3 - 4.0.4,0.0,5.0
20140122,Android 4.4,0.0,5.0
20140122,Android 4.3,0.0,5.0
20140122,Android 4.2,0.0,5.0
20140122,Android 4.1,0.0,5.0
20140122,Android 4.0.3 - 4.0.4,0.0,5.0
20140121,Android 4.4,0.0,5.0
20140121,Android 4.3,0.0,5.0
20140121,Android 4.2,5.0,5.0
20140121,Android 4.1,5.0,5.0
20140121,Android 4.0.3 - 4.0.4,0.0,5.0
20140120,Android 4.4,0.0,5.0
20140120,Android 4.3,0.0,5.0
20140120,Android 4.2,0.0,5.0
20140120,Android 4.1,0.0,5.0
20140120,Android 4.0.3 - 4.0.4,0.0,5.0
20140119,Android 4.4,0.0,5.0
20140119,Android 4.3,0.0,5.0
20140119,Android 4.2,0.0,5.0
20140119,Android 4.1,0.0,5.0
20140118,Android 4.4,0.0,5.0
20140118,Android 4.3,0.0,5.0
20140118,Android 4.2,0.0,5.0
20140118,Android 4.1,0.0,5.0
20140117,Android 4.4,5.0,5.0
20140117,Android 4.3,0.0,5.0
20140117,Android 4.2,0.0,5.0
20140117,Android 4.1,0.0,5.0
