# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,os_version,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140202,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140202,Android 2.3.3 - 2.3.7,1,1,1,0,1,3,1,1
20140201,Android 2.2,0,0,0,0,0,1,0,0
20140201,Android 4.4,1,0,0,0,1,1,0,0
20140201,Android 4.3,7,0,0,2,7,7,0,0
20140201,Android 4.2,2,0,0,0,2,3,0,0
20140201,Android 4.1,6,0,0,0,6,10,0,0
20140201,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140201,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140131,Android 2.2,0,0,0,0,0,1,0,0
20140131,Android 4.4,1,0,0,0,1,1,0,0
20140131,Android 4.3,7,0,0,3,7,7,0,0
20140131,Android 4.2,2,0,0,0,2,3,0,0
20140131,Android 4.1,6,0,0,2,6,10,0,0
20140131,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140131,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140130,Android 2.2,0,0,0,0,0,1,0,0
20140130,Android 4.4,1,0,0,0,1,1,0,0
20140130,Android 4.3,7,0,0,0,7,7,0,0
20140130,Android 4.2,2,0,0,1,2,3,0,0
20140130,Android 4.1,5,0,0,2,5,10,0,0
20140130,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140130,Android 2.3.3 - 2.3.7,1,0,0,1,1,2,0,0
20140129,Android 2.2,0,0,1,0,0,1,0,1
20140129,Android 4.4,1,0,0,0,1,1,0,0
20140129,Android 4.3,7,1,0,0,7,7,1,0
20140129,Android 4.2,2,0,0,0,2,3,0,0
20140129,Android 4.1,5,0,1,0,5,10,0,1
20140129,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140129,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140128,Android 2.2,1,0,0,0,1,1,0,0
20140128,Android 4.4,1,0,0,0,1,1,0,0
20140128,Android 4.3,6,0,0,0,6,6,0,0
20140128,Android 4.2,2,0,0,0,2,3,0,0
20140128,Android 4.1,6,0,1,0,6,10,0,1
20140128,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140128,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140127,Android 2.2,1,0,0,0,1,1,0,0
20140127,Android 4.4,1,0,0,0,1,1,0,0
20140127,Android 4.3,6,1,0,0,6,6,1,0
20140127,Android 4.2,2,0,0,0,2,3,0,0
20140127,Android 4.1,7,1,0,0,7,10,1,0
20140127,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140127,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140126,Android 2.2,1,0,0,0,1,1,0,0
20140126,Android 4.4,1,0,0,0,1,1,0,0
20140126,Android 4.3,5,0,0,0,5,5,0,0
20140126,Android 4.2,2,0,0,0,2,3,0,0
20140126,Android 4.1,6,2,1,0,6,9,2,1
20140126,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140126,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140125,Android 2.2,1,0,0,0,1,1,0,0
20140125,Android 4.4,1,0,0,0,1,1,0,0
20140125,Android 4.3,4,1,0,0,4,4,1,0
20140125,Android 4.2,3,0,1,0,3,4,0,1
20140125,Android 4.1,5,0,0,0,5,7,0,0
20140125,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140125,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140124,Android 2.2,1,0,0,0,1,1,0,0
20140124,Android 4.4,1,0,0,0,1,1,0,0
20140124,Android 4.3,3,0,0,0,3,3,0,0
20140124,Android 4.2,4,0,0,0,4,4,0,0
20140124,Android 4.1,5,0,0,0,5,7,0,0
20140124,Android 4.0.3 - 4.0.4,1,0,0,0,1,1,0,0
20140124,Android 2.3.3 - 2.3.7,1,0,0,0,1,2,0,0
20140123,Android 2.2,1,0,0,0,1,1,0,0
20140123,Android 4.4,1,0,0,0,1,1,0,0
20140123,Android 4.3,3,0,0,0,3,3,0,0
20140123,Android 4.2,4,0,0,0,4,4,0,0
